gsr_data,P,A,D,Label
1873.877584182749,,,,
1873.9908299367366,,,,
1874.1049588829096,,,,
1874.2192189906768,,,,
1874.333211358728,,,,
1874.4455861747394,,,,
1874.559632397238,,,,
1874.6774675812146,,,,
1874.7971442751648,,,,
1874.9190825034875,,,,
1875.0395736907544,,,,
1875.1551239948312,,,,
1875.2669036810453,,,,
1875.373439758337,,,,
1875.4751924170998,,,,
1875.5728992255345,,,,
1875.6638611377011,,,,
1875.746924435484,,,,
1875.825988614247,,,,
1875.9030901086842,,,,
1875.9773448546146,,,,
1876.0501117127606,,,,
1876.1179545021425,,,,
1876.1781842620428,,,,
1876.2332238308884,,,,
1876.2827311149151,,,,
1876.3275984206214,,,,
1876.3693755785876,,,,
1876.4068812080106,,,,
1876.440183381376,,,,
1876.4697890553712,,,,
1876.495618302205,,,,
1876.5182670655215,,,,
1876.5382046970667,,,,
1876.552710784112,,,,
1876.5599635872586,,,,
1876.5604798606187,,,,
1876.553197901279,,,,
1876.5395513894596,,,,
1876.5207268390827,,,,
1876.4949441552085,,,,
1876.4619622514256,,,,
1876.4306888316814,,,,
1876.407383340026,,,,
1876.39207702366,,,,
1876.389348212991,,,,
1876.3954842317105,,,,
1876.407971738455,,,,
1876.4338397112015,,,,
1876.4752072490155,,,,
1876.5264049121192,,,,
1876.5854201329626,,,,
1876.6533507660129,,,,
1876.7282759447064,,,,
1876.817454740731,,,,
1876.9262864341626,,,,
1877.051302389796,,,,
1877.1940310307245,,,,
1877.347759032786,,,,
1877.5060655884758,,,,
1877.6721381899247,,,,
1877.8437713906242,,,,
1878.022736579166,,,,
1878.2113884622547,,,,
1878.4050146264335,,,,
1878.6020957044898,,,,
1878.8121955489453,,,,
1879.040899404936,,,,
1879.2872638429008,,,,
1879.555331492932,,,,
1879.838721107172,,,,
1880.132664375802,,,,
1880.4436164642034,,,,
1880.7720041953307,,,,
1881.1014804532608,,,,
1881.4216150381617,,,,
1881.7314246063315,,,,
1882.0222374263053,,,,
1882.3024101588805,,,,
1882.5772654528644,,,,
1882.8338129323706,,,,
1883.0687294149866,,,,
1883.2910926579086,,,,
1883.5035862551279,,,,
1883.7049778266,,,,
1883.8985177910174,,,,
1884.071574416976,,,,
1884.2149932147495,,,,
1884.334430379935,,,,
1884.4270748532424,,,,
1884.5074073297155,,,,
1884.5885945037119,,,,
1884.6649491084888,,,,
1884.7416544114114,,,,
1884.814540641013,,,,
1884.8787129073705,,,,
1884.9444666334268,,,,
1885.015062422329,,,,
1885.0721027106479,,,,
1885.105219544445,,,,
1885.1163442587872,,,,
1885.0978127653195,,,,
1885.062841291626,,,,
1885.021280120668,,,,
1884.960787676794,,,,
1884.881003009848,,,,
1884.8299389226897,,,,
1884.8404455917387,,,,
1884.9146850215695,,,,
1885.0781838910113,,,,
1885.3101786550799,,,,
1885.5973235719152,,,,
1885.9780463468655,,,,
1886.4638685975376,,,,
1887.0264426991025,,,,
1887.656686535521,,,,
1888.3604983768405,,,,
1889.128619843086,,,,
1890.0001196243693,,,,
1891.0040404383576,,,,
1892.1232656374013,,,,
1893.3668229994532,,,,
1894.6007132468933,,,,
1895.7153673556616,,,,
1896.7304249545914,,,,
1897.5838266866594,,,,
1898.3165474867853,,,,
1898.9635742840671,,,,
1899.4214557628768,,,,
1899.6543048969766,,,,
1899.7834758950535,,,,
1899.866587407003,,,,
1899.8807041507346,,,,
1899.8695841677654,,,,
1899.7130001534078,,,,
1899.3196704311315,,,,
1898.7661279986621,,,,
1898.0366358446279,,,,
1897.2757186725485,,,,
1896.621863962758,,,,
1896.0289454066406,,,,
1895.5556961683926,,,,
1895.1789426171329,,,,
1894.8662278690133,,,,
1894.7266303926244,,,,
1894.8051883907874,,,,
1894.926730487536,,,,
1894.9956540762505,,,,
1895.0464197408883,,,,
1895.0145602187506,,,,
1895.0446637895514,,,,
1895.2491567486456,,,,
1895.5163446717086,,,,
1895.8554720715247,,,,
1896.2086169814008,,,,
1896.4919213618562,,,,
1896.7514613484784,,,,
1896.9714739278,,,,
1897.1278527176346,,,,
1897.2208892834076,,,,
1897.2077067147918,,,,
1897.0576626680127,,,,
1896.8942508358055,,,,
1896.7955209657828,,,,
1896.7298171844461,,,,
1896.7406422971408,,,,
1896.7464711635675,,,,
1896.679378052284,,,,
1896.6171511189953,,,,
1896.5613392200064,,,,
1896.4958531885666,,,,
1896.4358603271673,,,,
1896.3608742157053,,,,
1896.2582822583988,,,,
1896.1676169687505,,,,
1896.1083705834808,,,,
1896.0696502113312,,,,
1896.0619956349249,,,,
1896.049277254415,,,,
1896.0012194024296,,,,
1895.935462766576,,,,
1895.842254347712,,,,
1895.7339804546,,,,
1895.6257243608209,,,,
1895.496471710895,,,,
1895.3422427491041,,,,
1895.1902971648847,,,,
1895.0537693876493,,,,
1894.9332460014914,,,,
1894.841357634152,,,,
1894.7588811238275,,,,
1894.6729351133679,,,,
1894.6023121344012,,,,
1894.548413815139,,,,
1894.5039793039068,,,,
1894.469635810657,,,,
1894.4422690536085,,,,
1894.4177071569816,,,,
1894.4089032319398,,,,
1894.423590296188,,,,
1894.4563541214268,,,,
1894.5098843134463,,,,
1894.5662340999145,,,,
1894.609878903228,,,,
1894.6461792898097,,,,
1894.6681421353446,,,,
1894.6802951643383,,,,
1894.6876545187383,,,,
1894.6774542796595,,,,
1894.6452731766565,,,,
1894.6086368163396,,,,
1894.5764646681314,,,,
1894.545974470052,,,,
1894.5238165510134,,,,
1894.494855883562,,,,
1894.4476403428616,,,,
1894.3933886482885,,,,
1894.330955930926,,,,
1894.2669353890192,,,,
1894.2103112746522,,,,
1894.1561711486493,,,,
1894.1063347891654,,,,
1894.062903160506,,,,
1894.0255235725213,,,,
1893.9989545378894,,,,
1893.986344239524,,,,
1893.9748599742788,,,,
1893.956496053921,,,,
1893.9343999736261,,,,
1893.9040000037287,,,,
1893.8738517330494,,,,
1893.8510160954197,,,,
1893.827386513603,,,,
1893.8028137765384,,,,
1893.77828623465,,,,
1893.7516999462382,,,,
1893.725212761662,,,,
1893.6997934448264,,,,
1893.6715171761014,,,,
1893.6384932618469,,,,
1893.6013225464026,,,,
1893.5587091898515,,,,
1893.5148095844088,,,,
1893.472900892718,,,,
1893.431014833202,,,,
1893.3902693940968,,,,
1893.3488108078961,,,,
1893.304633017063,,,,
1893.2601407806194,,,,
1893.215598527823,,,,
1893.1685426847405,,,,
1893.1179768754307,,,,
1893.06356722598,,,,
1893.0040789736347,,,,
1892.9413628797367,,,,
1892.8765595541415,,,,
1892.807952759318,,,,
1892.7354402030066,,,,
1892.659080348376,,,,
1892.5783695288428,,,,
1892.49363853749,,,,
1892.4049911289148,,,,
1892.311431579673,,,,
1892.2124037138294,,,,
1892.1079757656385,,,,
1891.9977691740576,,,,
1891.886146618689,,,,
1891.7764866582415,,,,
1891.6681943063948,,,,
1891.563263257616,,,,
1891.4601390460105,,,,
1891.3575503445047,,,,
1891.258795208168,,,,
1891.1649069969837,,,,
1891.0723371053753,,,,
1890.9794930121489,,,,
1890.8869489457988,,,,
1890.7933957668133,,,,
1890.7024692500515,,,,
1890.61688609909,,,,
1890.5344001281799,,,,
1890.455514478585,,,,
1890.3774927067866,,,,
1890.2974375422516,,,,
1890.2167285893133,,,,
1890.1344527127005,,,,
1890.0508515211773,,,,
1889.9665892795429,,,,
1889.8797030240728,,,,
1889.7893440131995,,,,
1889.6996063440656,,,,
1889.612902761864,,,,
1889.5285526417767,,,,
1889.4481535827442,,,,
1889.3688475128213,,,,
1889.2884093878092,,,,
1889.2095163440383,,,,
1889.1322305598908,,,,
1889.0552714727328,,,,
1888.9785763552882,,,,
1888.9014755624992,,,,
1888.823151859333,,,,
1888.745254642916,,,,
1888.6686624395936,,,,
1888.5923782230884,,,,
1888.51655675638,,,,
1888.440723112849,,,,
1888.3642129948319,,,,
1888.2874972941556,,,,
1888.2105239485745,,,,
1888.1329623329389,,,,
1888.054756834476,,,,
1887.9756744806562,,,,
1887.8954816304972,,,,
1887.81607574013,,,,
1887.7388199153195,,,,
1887.6634407951544,,,,
