gsr_data,P,A,D,Label
2404.931663269813,,,,
2404.814271881872,,,,
2404.697317207449,,,,
2404.5807476635127,,,,
2404.4645854987434,,,,
2404.3486292916245,,,,
2404.232758198919,,,,
2404.11742528362,,,,
2404.002902315184,,,,
2403.889072670427,,,,
2403.7760925470684,,,,
2403.6636300005757,,,,
2403.551412698434,,,,
2403.439721453285,,,,
2403.3285441761027,,,,
2403.217930999597,,,,
2403.1080202451167,,,,
2402.9987113355137,,,,
2402.890002037165,,,,
2402.781985174544,,,,
2402.674687151289,,,,
2402.5681459359475,,,,
2402.4624164475144,,,,
2402.357255638253,,,,
2402.2524948864625,,,,
2402.148201352731,,,,
2402.0442890208005,,,,
2401.940888273466,,,,
2401.8381138451,,,,
2401.735810956853,,,,
2401.6339623920967,,,,
2401.533073021204,,,,
2401.433477359681,,,,
2401.335188066463,,,,
2401.238464774774,,,,
2401.143071993693,,,,
2401.048853786494,,,,
2400.956203166112,,,,
2400.865226234977,,,,
2400.775637416829,,,,
2400.6873474531235,,,,
2400.6003997964417,,,,
2400.514693449374,,,,
2400.430613373308,,,,
2400.3484401272344,,,,
2400.267995946604,,,,
2400.1893635319593,,,,
2400.112160658725,,,,
2400.036029258564,,,,
2399.961138448769,,,,
2399.887358220596,,,,
2399.814791657307,,,,
2399.743569678433,,,,
2399.673422549029,,,,
2399.604263013429,,,,
2399.5366060924443,,,,
2399.4707473336643,,,,
2399.406632684421,,,,
2399.344477125449,,,,
2399.283923528468,,,,
2399.224704605537,,,,
2399.1671653831,,,,
2399.1113210382364,,,,
2399.0557866861277,,,,
2398.999610732317,,,,
2398.942739803462,,,,
2398.884440990926,,,,
2398.825310706249,,,,
2398.7657351500866,,,,
2398.704607084363,,,,
2398.6415939991557,,,,
2398.5775253409493,,,,
2398.512671811285,,,,
2398.4468622057793,,,,
2398.3803685938306,,,,
2398.312061016371,,,,
2398.2410989856953,,,,
2398.1679835934883,,,,
2398.0924565323685,,,,
2398.0156309605827,,,,
2397.9385464258553,,,,
2397.8606890393453,,,,
2397.782426815012,,,,
2397.703427367252,,,,
2397.6232792913283,,,,
2397.542762386872,,,,
2397.462111534011,,,,
2397.379767276859,,,,
2397.2948226396866,,,,
2397.2074113769627,,,,
2397.116864875117,,,,
2397.024219965053,,,,
2396.930244497768,,,,
2396.833879574488,,,,
2396.7350491540224,,,,
2396.6349124978988,,,,
2396.5340074462365,,,,
2396.4325157678986,,,,
2396.331069899011,,,,
2396.2287588803547,,,,
2396.1250305755434,,,,
2396.0207962839113,,,,
2395.916153651246,,,,
2395.8106656225755,,,,
2395.7042937851747,,,,
2395.596942915486,,,,
2395.488394943496,,,,
2395.379380297434,,,,
2395.270369575765,,,,
2395.161053289441,,,,
2395.051591846102,,,,
2394.940622685496,,,,
2394.82699569442,,,,
2394.711040189441,,,,
2394.592190069303,,,,
2394.4708356078722,,,,
2394.3473635445544,,,,
2394.220778617248,,,,
2394.0907477587853,,,,
2393.958609916721,,,,
2393.8250451013864,,,,
2393.689852742496,,,,
2393.553550266747,,,,
2393.41496736535,,,,
2393.273225110537,,,,
2393.129195138364,,,,
2392.9827944656768,,,,
2392.835229956157,,,,
2392.6877359642363,,,,
2392.53992886264,,,,
2392.392315931244,,,,
2392.2448613453425,,,,
2392.0974028334,,,,
2391.950873514018,,,,
2391.805733015614,,,,
2391.660521410582,,,,
2391.5144492623394,,,,
2391.3679115511795,,,,
2391.2204271853398,,,,
2391.0732862661857,,,,
2390.927523274108,,,,
2390.7822484235026,,,,
2390.637607436342,,,,
2390.493119170527,,,,
2390.348092489511,,,,
2390.20299511454,,,,
2390.057736337256,,,,
2389.912208182195,,,,
2389.7665062138917,,,,
2389.620294483032,,,,
2389.473375403797,,,,
2389.3269490311145,,,,
2389.181797733669,,,,
2389.0377257209666,,,,
2388.8952153629803,,,,
2388.7535987695237,,,,
2388.6123403883053,,,,
2388.472237478845,,,,
2388.333390224765,,,,
2388.194087928831,,,,
2388.053283978601,,,,
2387.910912678201,,,,
2387.76609646318,,,,
2387.619799965541,,,,
2387.4726548559447,,,,
2387.3233335097448,,,,
2387.171548843653,,,,
2387.0182417330147,,,,
2386.8636941099635,,,,
2386.707851513425,,,,
2386.5510875909586,,,,
2386.392157415274,,,,
2386.2301826694675,,,,
2386.065773554972,,,,
2385.898685660013,,,,
2385.730429803673,,,,
2385.5623810473967,,,,
2385.394007399556,,,,
2385.2258779015892,,,,
2385.057617096821,,,,
2384.8887763368066,,,,
2384.720442947969,,,,
2384.552993886586,,,,
2384.384633377504,,,,
2384.214374208624,,,,
2384.042460406676,,,,
2383.868175198514,,,,
2383.692899306259,,,,
2383.51767538512,,,,
2383.3413201443414,,,,
2383.1638534737767,,,,
2382.986016198799,,,,
2382.807972975127,,,,
2382.6300776819144,,,,
2382.452814276437,,,,
2382.2754284490647,,,,
2382.0975351718107,,,,
2381.9197409096605,,,,
2381.74205921923,,,,
2381.564624284665,,,,
2381.3877230511457,,,,
2381.2112159308317,,,,
2381.035129648793,,,,
2380.8597975630382,,,,
2380.6853973885322,,,,
2380.5120044931423,,,,
2380.3397965063896,,,,
2380.167761646214,,,,
2379.99514904734,,,,
